vfat  elink  phase
0  0  0x7
0  1  0x7
0  2  0x7
0  3  0x7
0  4  0x7
0  5  0x9
0  6  0x7
0  7  0x7
1  0  0x3
1  1  0x5
1  2  0x5
1  3  0x5
1  4  0x5
1  5  0x3
1  6  0x5
1  7  0x5
2  0  0x7
2  1  0x7
2  2  0x5
2  3  0x5
2  4  0x7
2  5  0x5
2  6  0x6
2  7  0x7
3  0  0x4
3  1  0x4
3  2  0x4
3  3  0x4
3  4  0x2
3  5  0x2
3  6  0x2
3  7  0x2
4  0  0x0
4  1  0x0
4  2  0x0
4  3  0x0
4  4  0x0
4  5  0x0
4  6  0x0
4  7  0x0
5  0  0x0
5  1  0x0
5  2  0x0
5  3  0x0
5  4  0x0
5  5  0x0
5  6  0x0
5  7  0x0
6  0  0x0
6  1  0x0
6  2  0x0
6  3  0x0
6  4  0x0
6  5  0x0
6  6  0x0
6  7  0x0
7  0  0x0
7  1  0x0
7  2  0x0
7  3  0x0
7  4  0x0
7  5  0x0
7  6  0x0
7  7  0x0
8  0  0x8
8  1  0x8
8  2  0x8
8  3  0x7
8  4  0x6
8  5  0x7
8  6  0x6
8  7  0x8
9  0  0x3
9  1  0x2
9  2  0x2
9  3  0x1
9  4  0x1
9  5  0x1
9  6  0x3
9  7  0x3
10  0  0x5
10  1  0x5
10  2  0x4
10  3  0x4
10  4  0x4
10  5  0x4
10  6  0x3
10  7  0x5
11  0  0x7
11  1  0x8
11  2  0x9
11  3  0x9
11  4  0x9
11  5  0x7
11  6  0x8
11  7  0x7
12  0  0x0
12  1  0x0
12  2  0x0
12  3  0x0
12  4  0x0
12  5  0x0
12  6  0x0
12  7  0x0
13  0  0x0
13  1  0x0
13  2  0x0
13  3  0x0
13  4  0x0
13  5  0x0
13  6  0x0
13  7  0x0
14  0  0x0
14  1  0x0
14  2  0x0
14  3  0x0
14  4  0x0
14  5  0x0
14  6  0x0
14  7  0x0
15  0  0x0
15  1  0x0
15  2  0x0
15  3  0x0
15  4  0x0
15  5  0x0
15  6  0x0
15  7  0x0
16  0  0xa
16  1  0x9
16  2  0xb
16  3  0xa
16  4  0x9
16  5  0x9
16  6  0xa
16  7  0x9
17  0  0xc
17  1  0xa
17  2  0xb
17  3  0xa
17  4  0xc
17  5  0xa
17  6  0xa
17  7  0xa
18  0  0x8
18  1  0x8
18  2  0xa
18  3  0xa
18  4  0x8
18  5  0x8
18  6  0x8
18  7  0x9
19  0  0x7
19  1  0x7
19  2  0x8
19  3  0x9
19  4  0x7
19  5  0x9
19  6  0x7
19  7  0x9
20  0  0x0
20  1  0x0
20  2  0x0
20  3  0x0
20  4  0x0
20  5  0x0
20  6  0x0
20  7  0x0
21  0  0x0
21  1  0x0
21  2  0x0
21  3  0x0
21  4  0x0
21  5  0x0
21  6  0x0
21  7  0x0
22  0  0x0
22  1  0x0
22  2  0x0
22  3  0x0
22  4  0x0
22  5  0x0
22  6  0x0
22  7  0x0
23  0  0x0
23  1  0x0
23  2  0x0
23  3  0x0
23  4  0x0
23  5  0x0
23  6  0x0
23  7  0x0
